group	lib.size	norm.factors	eff.lib.size
31A	3801	3.41847474966932	12993.6225234931
31B	9839	0.971756068745913	9561.10796039104
32A	3427	1.16393218773411	3988.79560736478
32B	31176	0.712225053675983	22204.3282734024
33A	7764	0.754080979690216	5854.68472631484
33B	7432	1.00829778579068	7493.66914399636
34A	24523	0.779903102570679	19125.5637843408
34B	5810	1.22062020679551	7091.8034014819
35A	7110	1.0826443076097	7697.60102710495
35B	6954	0.928658938788149	6457.89426033279
36A	18132	0.853117691631872	15468.7299846691
36B	18336	0.900073620453035	16503.7499046268
37B	8421	0.982659761472976	8274.97785136393
38B	2500	0.808178461698076	2020.44615424519
39B	5011	1.07581251614403	5390.89651839773
40B	10647	0.845051152600757	8997.25962174026
41B	7031	1.13287853401505	7965.2689726598
42B	13486	1.09936894930232	14826.0896502911
43B	10876	1.11601439202538	12137.772527668
44B	29305	0.925189753080253	27112.6857140168
45B	11526	0.904725965317675	10427.8714762515
46B	7760	0.889473304454593	6902.31284256764
47B	18215	0.774022431378708	14098.8185875632
48B	9762	1.12369237130905	10969.4849287189
